id,tipo de elemento,contenido (markdown),pertenece a ,settings
executive-summary,executive-summary,"Lorem ipsum odor amet, consectetuer adipiscing elit. Risus blandit ligula quam natoque in euismod duis. Eget tortor nisl placerat blandit ornare maecenas. Elit eros augue velit primis sem gravida odio. Urna aenean urna phasellus at ridiculus sociosqu lectus varius. Laoreet adipiscing aliquam aptent facilisi metus interdum? Et arcu conubia libero blandit aptent. Nec viverra scelerisque habitasse habitant ligula aliquam conubia dis. Mauris posuere sagittis quis dolor a dignissim. Varius erat ante etiam nostra placerat senectus.

Sollicitudin elementum fusce pulvinar magna nec. Elit ad ut facilisis vitae; dis pharetra aliquam quam. Sem pretium maximus tristique mus convallis litora ut. Nascetur sollicitudin mollis lorem congue vel non. Vel nulla neque mi sodales congue nisi; finibus elementum convallis. Euismod rutrum consectetur per, posuere vivamus dolor faucibus. Sociosqu imperdiet nisi etiam velit sollicitudin morbi neque.

Quisque primis sodales felis montes nullam, penatibus netus facilisi. Vivamus non adipiscing aptent fames praesent ultrices vel. Finibus morbi velit ultrices curae ultrices, fermentum erat placerat. Vitae a erat proin imperdiet luctus sociosqu litora. Magnis euismod orci, consequat curae suscipit condimentum. Litora praesent consectetur suspendisse penatibus parturient facilisi habitasse. Ipsum lobortis risus ultrices penatibus neque scelerisque conubia. Hendrerit aliquet non maximus ultrices, ac arcu venenatis.

Cras luctus tortor auctor euismod habitasse! Scelerisque porta iaculis odio faucibus est venenatis nostra. Blandit sed dui sit rhoncus nam. Nec suscipit malesuada tempus fermentum; ipsum magna fusce tortor. Laoreet augue posuere suspendisse litora ridiculus duis. Velit volutpat volutpat nec varius luctus. Nulla leo felis malesuada elit elit rhoncus. Habitant et nulla dictum faucibus adipiscing class. Tincidunt aenean cursus malesuada luctus nascetur habitasse quisque.

Fames mattis enim; ligula purus massa cubilia. Ad semper mollis sagittis lobortis facilisis a. Cubilia eget congue nam amet integer. Mauris mollis lobortis phasellus erat gravida. Aenean nisl nostra rutrum habitasse venenatis aenean magna vestibulum ipsum. Facilisis augue blandit pharetra dapibus ut non commodo vestibulum dictum. Taciti est porttitor elementum at senectus dapibus torquent. Suspendisse tortor eros auctor blandit vel nostra dis.

Eget felis per donec congue tempus; auctor elementum tristique sapien. Dis gravida praesent arcu cursus viverra tincidunt. Cras convallis mi tempor odio primis ullamcorper. Tortor netus eleifend quisque fermentum dignissim luctus. Pretium vitae hendrerit; feugiat ridiculus neque dignissim magnis ultricies. Torquent pellentesque mattis per nullam vulputate leo. Fusce mus tempus ullamcorper diam purus a lacinia viverra. Lacinia tempus himenaeos phasellus porta habitasse vel tortor conubia. Curabitur nisl ridiculus viverra sed aliquet turpis diam accumsan. Fringilla nullam ultrices ex fermentum; maecenas torquent ut habitant est.

Posuere posuere eu sed aenean orci scelerisque faucibus. Ex maecenas vivamus fusce facilisis montes urna. Eget bibendum nulla etiam taciti maecenas proin fermentum magna. Magnis consectetur ex ad rhoncus suscipit. Penatibus massa purus diam purus sodales tristique lectus efficitur. Condimentum fusce ut lacinia arcu diam. Nec bibendum suspendisse condimentum placerat ut aenean? Dictum ex amet a est nullam dapibus aenean eget donec. Sed lectus sed donec nunc nunc dictum nisl vulputate erat. Consectetur nibh tortor condimentum adipiscing velit!

Malesuada dictum ex faucibus gravida vivamus class. Hac nascetur a sodales nunc eleifend dictum. Magna hendrerit sodales facilisi penatibus mauris scelerisque cras. Imperdiet ac elementum nulla mollis ligula scelerisque vel in. Erat auctor cubilia ac, viverra lorem tristique habitasse netus. Auctor nostra mi morbi dis maecenas. Curae efficitur hendrerit viverra varius felis justo; semper dis. Vitae magnis mollis fusce ante suspendisse posuere; in nostra. Posuere eros id pretium finibus dignissim pretium pellentesque!

Quisque laoreet fames quam nullam suscipit ut viverra. Nostra risus dis vitae venenatis sapien volutpat quis porttitor. Auctor mauris class velit fusce purus suspendisse taciti morbi vel. Pretium natoque quis turpis platea sodales feugiat quam nunc. Penatibus inceptos tortor pretium, duis posuere rutrum egestas montes. Tempor penatibus torquent sed augue elementum consequat condimentum quam.",,
ch08,chapter,# Control of corruption,,
ch08_f,findings,"- The prevalence of grand corruption, including corrupt public procurement practices and political graft, is a more pressing concern in the EU than street-level corruption, such as bribery in public services. The EU average score for the first type of corruption is 0.74 while for the second it is 0.53, on a scale from 0 to 1, where 1 signifies the highest possible score.
- People in the EU perceive a much higher level of corruption among political parties and members of the legislature than among national government officials, local government officials, and the police. However, there is considerable variation in the level of concern. In Sweden, only 5% of people think that police officers are corrupt, while in Romania, Bulgaria, and Cyprus the figure exceeds 30%.
- The efficacy of anti-corruption measures is being called into question. In all Member States, the majority of respondents believe that the measures taken by the national governments are ineffective in combating corruption and that these measures are not applied impartially.",ch08,
sec8_1,sub_chapter,## 8.1 Absence of bribery,ch08,
f_sec8_1,html,"This indicator explores the prevalence of bribes in administrative procedures and interactions with the police and court personnel. It assesses whether individuals in those situations have to make informal payments or gifts to receive a public service or expedite a process.

- The average score for the expert indicator of absence of bribery across the 27 EU Member States is 0.74 (Figure 8.1). Scores range from 0.98 in Denmark to 0.46 in Bulgaria.
- In all 27 Member States, fewer than half of respondents from the general population agree that their national government's efforts to combat corruption are effective (Figure 8.1.16) and that measures against corruption are applied impartially and without ulterior motives (Figure 8.1.17).
- In 5 Member States, the majority of respondents agree that they are personally affected by corruption in their daily lives, figures range from just 10.9% in Denmark to 68.6% in Cyprus (Figure 8.1.14).
- Perceptions of corruption in government institutions are the highest regarding political parties; in 17 Member States, the majority of respondents believe that most or all political parties are involved in corrupt practices (Figure 8.1.10). Following that, in 9 Member States, the majority of respondents believe that most or all Members of Parliament/Congress are corrupt (Figure 8.1.1), and in 6 Member States, the majority believe most or all officials in the national government are corrupt (Figure 8.1.2). On the contrary, perceptions of corruption are the lowest across the EU regarding car registration officers (Figure 8.1.9), land registry officers (Figure 8.1.8), and police officers (Figure 8.1.7).",sec8_1,
sec8_1_R3F01,accordion_viz,<span>Figure 8.1</span> Absence of bribery,sec8_1,expert
,accordion_viz_category,Expert's Scorecard,sec8_1_R3F01,
sec8_1_R3F01_d,accordion_viz_description,"Results reflect the evaluation of experts across the 27 EU Member States at the subnational level. The expert scorecard ranges from 0 to 1, where 1 signifies the highest possible score and 0 signifies the lowest possible score.",sec8_1_R3F01,
sec8_1_R3F01_i,accordion_viz_image,R3F1.svg,sec8_1_R3F01,
sec8_1_R3F01_n,accordion_viz_note,,sec8_1_R3F01,
sec8_1_R3F02,accordion_viz,<span>Figure 8.1.2</span> Perception of corruption in Parliament/Congress,sec8_1,people
,accordion_viz_category,People's Voices,sec8_1_R3F02,
sec8_1_R3F02_d,accordion_viz_description,Percentage of respondents who believe that most or all members of Parliament/Congress are involved in corrupt practices,sec8_1_R3F02,
sec8_1_R3F02_i,accordion_viz_image,R3F2.svg,sec8_1_R3F02,
sec8_1_R3F02_n,accordion_viz_note,,sec8_1_R3F02,
sec8_1_R3F03,accordion_viz,<span>Figure 8.1.3</span> Perception of corruption in the national government,sec8_1,people
,accordion_viz_category,People's Voices,sec8_1_R3F03,
sec8_1_R3F03_d,accordion_viz_description,Percentage of respondents who believe that most or all officials working in the national government are involved in corrupt practices,sec8_1_R3F03,
sec8_1_R3F03_i,accordion_viz_image,R3F3.svg,sec8_1_R3F03,
sec8_1_R3F03_n,accordion_viz_note,,sec8_1_R3F03,
sec8_1_R3F04,accordion_viz,<span>Figure 8.1.4</span> Perception of corruption in the local government,sec8_1,people
,accordion_viz_category,People's Voices,sec8_1_R3F04,
sec8_1_R3F04_d,accordion_viz_description,Percentage of respondents who believe that most or all officials working in the local government are involved in corrupt practices,sec8_1_R3F04,
sec8_1_R3F04_i,accordion_viz_image,R3F4.svg,sec8_1_R3F04,
sec8_1_R3F04_n,accordion_viz_note,,sec8_1_R3F04,
sec8_1_R3F05,accordion_viz,<span>Figure 8.1.4</span> Perception of corruption of judges and magistrates,sec8_1,people
,accordion_viz_category,People's Voices,sec8_1_R3F05,
sec8_1_R3F05_d,accordion_viz_description,Percentage of respondents who believe that most or all judges and magistrates are involved in corrupt practices,sec8_1_R3F05,
sec8_1_R3F05_i,accordion_viz_image,R3F5.svg,sec8_1_R3F05,
sec8_1_R3F05_n,accordion_viz_note,,sec8_1_R3F05,
sec8_1_R3F06,accordion_viz,<span>Figure 8.1.5</span> Perception of corruption of criminal investigation prosecutors,sec8_1,people
,accordion_viz_category,People's Voices,sec8_1_R3F06,
sec8_1_R3F06_d,accordion_viz_description,Percentage of respondents who believe that most or all prosecutors in charge of criminal investigations,sec8_1_R3F06,
sec8_1_R3F06_i,accordion_viz_image,R3F6.svg,sec8_1_R3F06,
sec8_1_R3F06_n,accordion_viz_note,,sec8_1_R3F06,
sec8_1_R3F07,accordion_viz,<span>Figure 8.1.6</span> Perception of corruption of public defense attorneys,sec8_1,people
,accordion_viz_category,People's Voices,sec8_1_R3F07,
sec8_1_R3F07_d,accordion_viz_description,Percentage of respondents who believe that most or all public defense attorneys are involved in corrupt practices,sec8_1_R3F07,
sec8_1_R3F07_i,accordion_viz_image,R3F7.svg,sec8_1_R3F07,
sec8_1_R3F07_n,accordion_viz_note,,sec8_1_R3F07,
sec8_1_R3F08,accordion_viz,<span>Figure 8.1.7</span> Perception of corruption of police officers,sec8_1,people
,accordion_viz_category,People's Voices,sec8_1_R3F08,
sec8_1_R3F08_d,accordion_viz_description,Percentage of respondents who believe that most or all police officers are involved in corrupt practices,sec8_1_R3F08,
sec8_1_R3F08_i,accordion_viz_image,R3F8.svg,sec8_1_R3F08,
sec8_1_R3F08_n,accordion_viz_note,,sec8_1_R3F08,
sec8_1_R3F09,accordion_viz,<span>Figure 8.1.8</span> Perception of corruption of land registry officers,sec8_1,people
,accordion_viz_category,People's Voices,sec8_1_R3F09,
sec8_1_R3F09_d,accordion_viz_description,Percentage of respondents who believe that most or all land registry officers are involved in corrupt practices,sec8_1_R3F09,
sec8_1_R3F09_i,accordion_viz_image,R3F9.svg,sec8_1_R3F09,
sec8_1_R3F09_n,accordion_viz_note,,sec8_1_R3F09,
sec8_1_R3F10,accordion_viz,<span>Figure 8.1.9</span> Perception of corruption of car registration or driver license agency officers,sec8_1,people
,accordion_viz_category,People's Voices,sec8_1_R3F10,
sec8_1_R3F10_d,accordion_viz_description,Percentage of respondents who believe that most or all car registration or driver license agency officers are involved in corrupt practices,sec8_1_R3F10,
sec8_1_R3F10_i,accordion_viz_image,R3F10.svg,sec8_1_R3F10,
sec8_1_R3F10_n,accordion_viz_note,,sec8_1_R3F10,
sec8_1_R3F11,accordion_viz,<span>Figure 8.1.10</span> Perception of corruption in political parties,sec8_1,people
,accordion_viz_category,People's Voices,sec8_1_R3F11,
sec8_1_R3F11_d,accordion_viz_description,Percentage of respondents who believe that most or all political parties are involved in corrupt practices,sec8_1_R3F11,
sec8_1_R3F11_i,accordion_viz_image,R3F11.svg,sec8_1_R3F11,
sec8_1_R3F11_n,accordion_viz_note,,sec8_1_R3F11,
sec8_1_R3F12,accordion_viz,<span>Figure 8.1.11</span> Perception of corruption in eu's institutions and agencies,sec8_1,people
,accordion_viz_category,People's Voices,sec8_1_R3F12,
sec8_1_R3F12_d,accordion_viz_description,Percentage of respondents who believe that most or all officials working in the EU's institutions and agencies are involved in corrupt practices,sec8_1_R3F12,
sec8_1_R3F12_i,accordion_viz_image,R3F12.svg,sec8_1_R3F12,
sec8_1_R3F12_n,accordion_viz_note,,sec8_1_R3F12,
sec8_1_R3F13,accordion_viz,<span>Figure 8.1.12</span> Experiences of corruption in government services,sec8_1,people
,accordion_viz_category,People's Voices,sec8_1_R3F13,
sec8_1_R3F13_d,accordion_viz_description,Percentage of respondents who had to pay a bribe to receive a government service or expedite the process out of those who requested the service,sec8_1_R3F13,
sec8_1_R3F13_i,accordion_viz_image,R3F13.svg,sec8_1_R3F13,
sec8_1_R3F13_n,accordion_viz_note,,sec8_1_R3F13,
sec8_1_R3F14,accordion_viz,<span>Figure 8.1.13</span> Main government service in which people experienced corruption,sec8_1,people
,accordion_viz_category,People's Voices,sec8_1_R3F14,
sec8_1_R3F14_d,accordion_viz_description,Most frequent service in which respondents reported to have paid a bribe to receive the service or expedite the process,sec8_1_R3F14,
sec8_1_R3F14_i,accordion_viz_image,R3F14.svg,sec8_1_R3F14,
sec8_1_R3F14_n,accordion_viz_note,,sec8_1_R3F14,
sec8_1_R3F15,accordion_viz,<span>Figure 8.1.14</span> Perception of corruption affecting people's daily lives,sec8_1,people
,accordion_viz_category,People's Voices,sec8_1_R3F15,
sec8_1_R3F15_d,accordion_viz_description,Percentage of respondents who agree that they are personally affected by corruption in their daily lives,sec8_1_R3F15,
sec8_1_R3F15_i,accordion_viz_image,R3F15.svg,sec8_1_R3F15,
sec8_1_R3F15_n,accordion_viz_note,,sec8_1_R3F15,
sec8_1_R3F16,accordion_viz,<span>Figure 8.1.15</span> Perception that citizens can make a difference in the fight against corruption,sec8_1,people
,accordion_viz_category,People's Voices,sec8_1_R3F16,
sec8_1_R3F16_d,accordion_viz_description,Percentage of respondents who believe citizens can make a difference in the fight against corruption,sec8_1_R3F16,
sec8_1_R3F16_i,accordion_viz_image,R3F16.svg,sec8_1_R3F16,
sec8_1_R3F16_n,accordion_viz_note,,sec8_1_R3F16,
sec8_1_R3F17,accordion_viz,<span>Figure 8.1.16</span> Effectiveness of measures against corruption,sec8_1,people
,accordion_viz_category,People's Voices,sec8_1_R3F17,
sec8_1_R3F17_d,accordion_viz_description,Percentage of respondents who agree that the national government's measures to combat corruption are effective,sec8_1_R3F17,
sec8_1_R3F17_i,accordion_viz_image,R3F17.svg,sec8_1_R3F17,
sec8_1_R3F17_n,accordion_viz_note,,sec8_1_R3F17,
sec8_1_R3F18,accordion_viz,<span>Figure 8.1.17</span> Impartiality in measures against corruption,sec8_1,people
,accordion_viz_category,People's Voices,sec8_1_R3F18,
sec8_1_R3F18_d,accordion_viz_description,Percentage of respondents who agree that measures against corruption are applied impartially,sec8_1_R3F18,
sec8_1_R3F18_i,accordion_viz_image,R3F18.svg,sec8_1_R3F18,
sec8_1_R3F18_n,accordion_viz_note,,sec8_1_R3F18,
sec8_2,sub_chapter,## 8.2 Absence of corrupt procurement practices,ch08,
f_sec8_2,html,"This indicator evaluates the prevalence of grand corruption, specifically in public procurement (graft) and political processes.  This includes instances where high-ranking officials use their influence to award government contracts without competitive bidding or purchase goods at inflated prices. Additionally, this category examines whether these leaders solicit or receive informal payments in exchange of political favors, including favorable treatment, favorable votes, and access to policymakers.

- The average score for the expert indicator that   evaluates the extent of practices of grand corruption, including graft in public procurement and the political process among the 27 EU Member States is 0.53 (Figure 8.2). Scores range from 0.89 in Finland to 0.25 in Bulgaria.
- In 21 Member States, the majority of respondents agree that the only way to succeed in business is to have political connections, figures range from just 19.5% in Sweden to 75.5% in Croatia (Figure 8.2.1).",sec8_2,
sec8_2_R3F19,accordion_viz,<span>Figure 8.2</span> Absence of corrupt procurement practices,sec8_2,expert
,accordion_viz_category,Expert's Scorecard,sec8_2_R3F19,
sec8_2_R3F19_d,accordion_viz_description,"Results reflect the evaluation of experts across the 27 EU Member States at the subnational level. The expert scorecard ranges from 0 to 1, where 1 signifies the highest possible score and 0 signifies the lowest possible score.",sec8_2_R3F19,
sec8_2_R3F19_i,accordion_viz_image,R3F19.svg,sec8_2_R3F19,
sec8_2_R3F19_n,accordion_viz_note,,sec8_2_R3F19,
sec8_2_R3F20,accordion_viz,<span>Figure 8.2.1</span> Perception that political connections are key to succeed in business,sec8_2,people
,accordion_viz_category,People's Voices,sec8_2_R3F20,
sec8_2_R3F20_d,accordion_viz_description,Percentage of respondents who agree that the only way to succeed in business is to have political connections,sec8_2_R3F20,
sec8_2_R3F20_i,accordion_viz_image,R3F20.svg,sec8_2_R3F20,
sec8_2_R3F20_n,accordion_viz_note,,sec8_2_R3F20,
sec8_3,sub_chapter,## 8.3 Absence of embezzlement,ch08,
f_sec8_3,html,"This indicator measures the prevalence of theft or misappropriation of public funds or other state resources for personal use by public sector employees or elected officials.

- The average score for the expert indicator of absence of embezzlement among the 27 EU Member States is 0.60 (Figure 8.3). Scores range from 0.90 in Finland and Denmark to 0.32 in Bulgaria.",sec8_3,
sec8_3_R3F21,accordion_viz,<span>Figure 8.3</span> Absence of embezzlement,sec8_3,expert
,accordion_viz_category,Expert's Scorecard,sec8_3_R3F21,
sec8_3_R3F21_d,accordion_viz_description,"Results reflect the evaluation of experts across the 27 EU Member States at the subnational level. The expert scorecard ranges from 0 to 1, where 1 signifies the highest possible score and 0 signifies the lowest possible score.",sec8_3_R3F21,
sec8_3_R3F21_i,accordion_viz_image,R3F21.svg,sec8_3_R3F21,
sec8_3_R3F21_n,accordion_viz_note,,sec8_3_R3F21,
sec8_4,sub_chapter,## 8.4 Absence of favoritism,ch08,
f_sec8_4,html,"This indicator refers to the practice of using public authority to benefit friends or family members, without necessarily requiring the exchange of political favors for money or gifts.

- The average score for the expert indicator of absence of favoritism among the 27 EU Member States is 0.53 (Figure 8.4). Scores range from 0.84 in Finland and Sweden to 0.27 in Bulgaria.",sec8_4,
sec8_4_R3F22,accordion_viz,<span>Figure 8.4</span> Absence of favoritism,sec8_4,expert
,accordion_viz_category,Expert's Scorecard,sec8_4_R3F22,
sec8_4_R3F22_d,accordion_viz_description,"Results reflect the evaluation of experts across the 27 EU Member States at the subnational level. The expert scorecard ranges from 0 to 1, where 1 signifies the highest possible score and 0 signifies the lowest possible score.",sec8_4_R3F22,
sec8_4_R3F22_i,accordion_viz_image,R3F22.svg,sec8_4_R3F22,
sec8_4_R3F22_n,accordion_viz_note,,sec8_4_R3F22,
sec8_5,sub_chapter,## 8.5 Absence of corrupt electoral practices,ch08,
f_sec8_5,html,"This indicator examines the prevalence of the misuse of public funds to benefit a political campaign or to interfere with the electoral process. It also includes vote buying and cases where election officials request or receive bribes to benefit a candidate.

- The average score for the expert indicator of absence of corrupt electoral practices across the 27 EU Member States is 0.57 (Figure 8.5). Scores range from 0.90 in Finland to 0.24 in Bulgaria.
- In all 27 Member States, the vast majority of people think it is unacceptable for an elected official to take public funds for private use, figures range from 97.0% in Finland to 79.1% in Romania (Figure 8.5.1). 
- Most people across the EU answered it is unacceptable for a public officer to be recruited on the basis of family ties and friendship networks, figures range from 85.6% in Italy to 49.9% in Luxembourg (Figure 8.5.2).",sec8_5,
sec8_5_R3F23,accordion_viz,<span>Figure 8.5</span> Absence of corrupt electoral practices,sec8_5,expert
,accordion_viz_category,Expert's Scorecard,sec8_5_R3F23,
sec8_5_R3F23_d,accordion_viz_description,"Results reflect the evaluation of experts across the 27 EU Member States at the subnational level. The expert scorecard ranges from 0 to 1, where 1 signifies the highest possible score and 0 signifies the lowest possible score.",sec8_5_R3F23,
sec8_5_R3F23_i,accordion_viz_image,R3F23.svg,sec8_5_R3F23,
sec8_5_R3F23_n,accordion_viz_note,,sec8_5_R3F23,
sec8_5_R3F24,accordion_viz,<span>Figure 8.5.1</span> Disagreement with elected officials taking public funds for private use,sec8_5,people
,accordion_viz_category,People's Voices,sec8_5_R3F24,
sec8_5_R3F24_d,accordion_viz_description,Percentage of respondents who answered it is unacceptable for an elected official to take public funds for private use,sec8_5_R3F24,
sec8_5_R3F24_i,accordion_viz_image,R3F24.svg,sec8_5_R3F24,
sec8_5_R3F24_n,accordion_viz_note,,sec8_5_R3F24,
sec8_5_R3F25,accordion_viz,<span>Figure 8.5.2</span> Disagreement with public officers recruited on account of family ties or friendship networks,sec8_5,people
,accordion_viz_category,People's Voices,sec8_5_R3F25,
sec8_5_R3F25_d,accordion_viz_description,Percentage of respondents who answered it is unacceptable for a public officer to be recruited on the basis of family ties and friendship networks,sec8_5_R3F25,
sec8_5_R3F25_i,accordion_viz_image,R3F25.svg,sec8_5_R3F25,
sec8_5_R3F25_n,accordion_viz_note,,sec8_5_R3F25,
ch09,chapter,# Transparency and Access to Information,,
ch09_f,findings,"- There is a significant disparity in transparency assessments across the EU, with expert scores ranging from 0.52 in Romania to 0.83 in Sweden.
- In contrast, the general population is not as confident in having access to public information if they seek it. In 17 Member States, fewer than one in four are confident that they would have access to detailed budget figures from government agencies if requested.",ch09,
sec9_1,sub_chapter,## 9.1 Transparency and access to information,ch09,
f_sec9_1,html,"This indicator includes information on public institutions' proactive transparency measures and the accessibility of different types of public information. Additionally, it covers the publicity of laws and whether the right to request information is effectively guaranteed.

- The average score for the expert indicator of right of access to documents across the 27 EU Member States is 0.67 (Figure 9.1). Scores range from 0.83 in Sweden to 0.52 in Romania. 
- In 14 Member States, the majority of respondents agree that local authorities provide people with information about their rights (Figure 9.1.1), and in 9 EU countries, the majority of respondents believe that local authorities provide information in a simple, easy-to-read way (Figure 9.1.2).
- In 21 Member States, the majority of respondents agree that local authorities make information easy to find online (Figure 9.1.3), yet only in 1 Member State (Poland) the majority of people agree that this information is easy to find without using the internet, such as using leaflets or posters (Figure 9.1.4).
- In 26 Member States (data was not collected in Ireland for these questions), fewer than half of respondents believe it is likely or very likely that government agencies would grant information requests related to copies of government contracts or to detailed budget figures of government agencies (Figure 9.1.5). In most Member States, people tend to agree it is more likely to access budget figures than government contracts.",sec9_1,
sec9_1_R3F26,accordion_viz,<span>Figure 9.1</span> Transparency and access to information,sec9_1,expert
,accordion_viz_category,Expert's Scorecard,sec9_1_R3F26,
sec9_1_R3F26_d,accordion_viz_description,"Results reflect the evaluation of experts across the 27 EU Member States at the subnational level. The expert scorecard ranges from 0 to 1, where 1 signifies the highest possible score and 0 signifies the lowest possible score.",sec9_1_R3F26,
sec9_1_R3F26_i,accordion_viz_image,R3F26.svg,sec9_1_R3F26,
sec9_1_R3F26_n,accordion_viz_note,,sec9_1_R3F26,
sec9_1_R3F27,accordion_viz,<span>Figure 9.1.1</span> Access to information on people's rights,sec9_1,people
,accordion_viz_category,People's Voices,sec9_1_R3F27,
sec9_1_R3F27_d,accordion_viz_description,Percentage of respondents who agree that local authorities provide people with information about their rights,sec9_1_R3F27,
sec9_1_R3F27_i,accordion_viz_image,R3F27.svg,sec9_1_R3F27,
sec9_1_R3F27_n,accordion_viz_note,,sec9_1_R3F27,
sec9_1_R3F28,accordion_viz,<span>Figure 9.1.2</span> Access to information in simple formats,sec9_1,people
,accordion_viz_category,People's Voices,sec9_1_R3F28,
sec9_1_R3F28_d,accordion_viz_description,"Percentage of respondents who agree that local authorities provide information for people in a simple, easy-to-read way",sec9_1_R3F28,
sec9_1_R3F28_i,accordion_viz_image,R3F28.svg,sec9_1_R3F28,
sec9_1_R3F28_n,accordion_viz_note,,sec9_1_R3F28,
sec9_1_R3F29,accordion_viz,<span>Figure 9.1.3</span> Access to information online,sec9_1,people
,accordion_viz_category,People's Voices,sec9_1_R3F29,
sec9_1_R3F29_d,accordion_viz_description,Percentage of respondents who agree that local authorities make information easy to find online,sec9_1_R3F29,
sec9_1_R3F29_i,accordion_viz_image,R3F29.svg,sec9_1_R3F29,
